Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,1794.0,1797.5,1772.0,1783.0,1779.8519287109375,1625214
2018-01-03,1779.5,1806.5,1779.5,1789.5,1786.34033203125,1317990
2018-01-04,1789.5,1791.0,1749.0,1753.5,1750.4039306640625,3016473
2018-01-05,1758.0,1789.0,1758.0,1782.5,1779.3526611328125,1705448
2018-01-08,1785.0,1798.0,1765.5,1770.0,1766.8746337890625,1436243
2018-01-09,1769.0,1794.5,1769.0,1777.0,1773.8621826171875,1684012
2018-01-10,1779.0,1786.5,1764.5,1779.5,1776.35791015625,1120266
2018-01-11,1779.0,1783.5,1764.0,1779.5,1776.35791015625,1447333
2018-01-12,1781.5,1817.5,1781.5,1791.0,1787.837890625,2311193
2018-01-15,1791.0,1792.5,1771.0,1771.0,1767.8731689453125,1670216
2018-01-16,1778.0,1790.0,1772.0,1785.0,1781.848388671875,3141733
2018-01-17,1695.5,1711.5,1618.0,1619.0,1616.141357421875,6209389
2018-01-18,1619.5,1631.5,1576.5,1588.5,1585.6954345703125,4351262
2018-01-19,1595.5,1610.0,1591.5,1596.5,1593.6812744140625,3065732
2018-01-22,1594.5,1625.0,1594.5,1599.5,1596.6759033203125,2364780
2018-01-23,1603.0,1643.0,1584.0,1625.5,1622.630126953125,3320015
2018-01-24,1628.0,1662.5,1621.0,1621.0,1618.1378173828125,3033415
2018-01-25,1614.5,1628.5,1593.0,1602.5,1599.670654296875,2641069
2018-01-26,1610.0,1628.5,1603.5,1611.5,1608.654541015625,1889108
2018-01-29,1618.0,1632.0,1614.0,1614.0,1611.1502685546875,2198374
2018-01-30,1612.5,1618.0,1585.0,1591.0,1588.1907958984375,6137495
2018-01-31,1601.0,1607.5,1576.0,1579.0,1576.212158203125,2996724
2018-02-01,1586.0,1589.5,1564.5,1567.0,1564.233154296875,2250497
2018-02-02,1567.5,1578.5,1561.0,1562.5,1559.740966796875,2417968
2018-02-05,1551.0,1560.0,1528.0,1553.5,1550.7572021484375,2960044
2018-02-06,1497.5,1568.5,1481.5,1541.0,1538.2794189453125,4664100
2018-02-07,1563.5,1580.0,1546.5,1570.0,1567.227783203125,2306159
2018-02-08,1559.5,1564.5,1543.5,1543.5,1540.7745361328125,2604782
2018-02-09,1535.5,1543.5,1491.5,1498.0,1495.355224609375,3350700
2018-02-12,1508.0,1526.5,1498.0,1520.0,1517.3162841796875,2067843
2018-02-13,1516.0,1537.5,1509.5,1509.5,1506.8348388671875,2091292
2018-02-14,1522.5,1549.0,1519.5,1543.0,1540.2757568359375,2873142
2018-02-15,1551.5,1555.5,1543.5,1555.0,1552.25439453125,2031376
2018-02-16,1561.5,1565.0,1544.0,1552.0,1549.2596435546875,1313237
2018-02-19,1556.5,1556.5,1535.5,1541.0,1538.2794189453125,927289
2018-02-20,1544.5,1566.0,1544.0,1560.5,1557.7447509765625,1190057
2018-02-21,1555.5,1581.0,1553.0,1565.5,1562.73583984375,1335492
2018-02-22,1560.0,1561.0,1533.5,1552.5,1549.7589111328125,1409787
2018-02-23,1559.0,1559.0,1534.0,1540.5,1537.780029296875,1163214
2018-02-26,1543.0,1552.5,1539.0,1546.5,1543.76953125,1243498
2018-02-27,1552.5,1556.5,1538.0,1538.0,1535.2845458984375,1182347
2018-02-28,1532.5,1548.0,1527.0,1533.5,1530.7923583984375,1546071
2018-03-01,1535.5,1642.0,1533.0,1592.0,1589.189208984375,5855091
2018-03-02,1581.0,1674.0,1578.0,1634.5,1631.6141357421875,3927075
2018-03-05,1640.0,1658.0,1633.5,1650.5,1647.5860595703125,3041762
2018-03-06,1660.5,1689.0,1642.5,1647.0,1644.092041015625,3040920
2018-03-07,1637.0,1643.5,1619.0,1638.0,1635.107666015625,3671866
2018-03-08,1641.0,1647.0,1617.5,1644.0,1641.0972900390625,2553761
2018-03-09,1644.0,1674.5,1628.0,1667.5,1664.5560302734375,1901349
2018-03-12,1671.0,1672.5,1624.0,1660.0,1657.0693359375,2576175
2018-03-13,1655.0,1668.5,1640.5,1649.0,1646.0882568359375,2171207
2018-03-14,1649.5,1659.5,1637.0,1654.0,1651.0794677734375,1973167
2018-03-15,1657.0,1665.0,1647.5,1657.0,1654.07421875,1172196
2018-03-16,1651.5,1676.0,1650.5,1669.0,1666.0531005859375,3264462
2018-03-19,1667.5,1682.0,1656.0,1670.0,1667.05126953125,1383065
2018-03-20,1675.0,1690.0,1665.0,1678.5,1675.536376953125,1780917
2018-03-21,1676.0,1688.5,1674.0,1678.5,1675.536376953125,2357628
2018-03-22,1669.0,1692.5,1647.5,1656.0,1653.076171875,2126305
2018-03-23,1642.0,1655.0,1611.0,1653.0,1650.08154296875,2382066
2018-03-26,1653.0,1667.0,1643.5,1653.0,1650.08154296875,1030508
2018-03-27,1680.0,1683.5,1664.0,1670.0,1667.05126953125,1311120
2018-03-28,1696.0,1702.0,1666.0,1697.5,1694.5028076171875,2582904
2018-03-29,1693.5,1721.0,1693.5,1696.0,1693.005615234375,2300034
2018-04-03,1684.0,1725.5,1675.5,1701.5,1698.495849609375,2408629
2018-04-04,1704.5,1723.0,1690.0,1705.0,1701.989501953125,1836436
2018-04-05,1725.0,1725.0,1670.0,1704.5,1701.490478515625,2529339
2018-04-06,1699.0,1702.0,1670.5,1676.5,1673.539794921875,2854475
2018-04-09,1679.0,1698.5,1673.5,1692.0,1689.012451171875,1887682
2018-04-10,1713.5,1736.5,1691.0,1715.0,1711.97216796875,2782463
2018-04-11,1710.0,1723.5,1707.0,1720.0,1716.9630126953125,2370172
2018-04-12,1716.5,1733.5,1708.0,1718.0,1714.966552734375,1817419
2018-04-13,1719.5,1745.5,1710.0,1732.5,1729.441162109375,1394918
2018-04-16,1735.5,1743.0,1723.0,1723.5,1720.45703125,1213882
2018-04-17,1721.0,1728.5,1705.5,1725.5,1722.45361328125,3724808
2018-04-18,1732.5,1737.0,1720.0,1730.0,1726.9453125,2226725
2018-04-19,1729.5,1733.5,1711.0,1714.5,1711.472900390625,1554767
2018-04-20,1721.5,1746.0,1705.0,1735.0,1731.9366455078125,1625585
2018-04-23,1738.5,1742.5,1725.5,1738.0,1734.9312744140625,1222118
