Date,Open,High,Low,Close,Volume
2018-01-05,1794.0,1806.5,1749.0,1782.5,7665125
2018-01-12,1785.0,1817.5,1764.0,1791.0,7999047
2018-01-19,1791.0,1792.5,1576.5,1596.5,18438332
2018-01-26,1594.5,1662.5,1584.0,1611.5,13248387
2018-02-02,1618.0,1632.0,1561.0,1562.5,16001058
2018-02-09,1551.0,1580.0,1481.5,1498.0,15885785
2018-02-16,1508.0,1565.0,1498.0,1552.0,10376890
2018-02-23,1556.5,1581.0,1533.5,1540.5,6025839
2018-03-02,1543.0,1674.0,1527.0,1634.5,13754082
2018-03-09,1640.0,1689.0,1617.5,1667.5,14209658
2018-03-16,1671.0,1676.0,1624.0,1669.0,11157207
2018-03-23,1667.5,1692.5,1611.0,1653.0,10029981
2018-03-30,1653.0,1721.0,1643.5,1696.0,7224566
2018-04-06,1684.0,1725.5,1670.0,1676.5,9628879
2018-04-13,1679.0,1745.5,1673.5,1732.5,10252654
2018-04-20,1735.5,1746.0,1705.0,1735.0,10345767
2018-04-27,1738.5,1822.0,1725.5,1822.0,8310093
2018-05-04,1818.5,1880.5,1808.5,1875.0,14587083
2018-05-11,1879.0,1884.5,1737.5,1805.5,14974964
2018-05-18,1804.5,1959.5,1790.5,1932.0,28209457
2018-05-25,1942.0,2029.0,1942.0,2005.0,23240419
2018-06-01,1991.5,2088.0,1978.0,2077.0,14699886
2018-06-08,2099.0,2186.0,2083.0,2114.0,16338762
2018-06-15,2122.0,2176.0,2098.0,2150.0,12527796
2018-06-22,2154.0,2166.0,2082.0,2162.0,12585559
2018-06-29,2160.0,2177.0,2119.0,2160.0,11753294
2018-07-06,2149.0,2173.0,2036.0,2070.0,15193680
2018-07-13,2074.0,2116.0,1996.0,2108.0,17532252
2018-07-20,2110.0,2181.0,2089.0,2152.0,11218564
2018-07-27,2143.0,2169.0,2101.0,2113.0,9015026
2018-08-03,2107.0,2129.0,2060.0,2126.0,11692888
2018-08-10,2124.0,2240.0,2114.0,2219.0,9460382
2018-08-17,2217.0,2297.0,2204.0,2244.0,12173140
2018-08-24,2230.0,2277.0,2211.0,2265.0,7320409
2018-08-31,2285.0,2338.0,2235.0,2236.0,8598672
2018-09-07,2246.0,2262.0,2064.0,2092.0,14307106
2018-09-14,2092.0,2160.0,2064.0,2153.0,13179350
2018-09-21,2141.0,2148.0,1955.5,2012.0,16012923
2018-09-28,2008.0,2024.0,1980.5,2015.0,10154881
2018-10-05,2009.0,2058.0,1889.0,1904.0,14806617
2018-10-12,1900.5,1911.5,1681.5,1761.5,19628900
2018-10-19,1757.0,1793.5,1671.5,1671.5,11657800
2018-10-26,1677.5,1747.0,1636.0,1720.5,12917462
2018-11-02,1730.0,1935.0,1705.0,1865.0,15361719
2018-11-09,1859.0,1894.0,1770.5,1773.5,12976248
2018-11-16,1790.5,1845.0,1719.5,1817.5,16081938
2018-11-23,1824.0,1850.0,1709.5,1850.0,11806010
2018-11-30,1871.0,1886.5,1764.5,1776.5,9623870
2018-12-07,1830.0,1882.5,1708.0,1730.5,8951437
2018-12-14,1715.5,1790.0,1691.5,1751.0,8351017
2018-12-21,1753.5,1757.5,1675.0,1712.5,10973482
2018-12-28,1687.0,1733.0,1654.5,1719.5,2171746
2019-01-04,1733.0,1737.5,1618.5,1698.0,4302056
2019-01-11,1706.5,1809.0,1690.0,1751.5,7359102
2019-01-18,1774.5,1806.0,1727.0,1787.5,7525536
2019-01-25,1784.5,1847.0,1723.5,1785.5,8280308
2019-02-01,1775.5,1847.0,1737.0,1831.5,7431087
2019-02-08,1829.0,1905.0,1793.0,1869.0,6403824
2019-02-15,1876.5,1992.5,1863.0,1953.0,7662911
2019-02-22,1948.0,1988.5,1921.5,1956.5,4644003
2019-03-01,1956.5,1983.0,1832.0,1947.5,7520935
2019-03-08,1960.0,1979.5,1828.5,1841.0,9391294
2019-03-15,1857.0,1875.0,1831.0,1852.5,7630155
2019-03-22,1850.0,1917.0,1836.5,1839.0,5447460
2019-03-29,1828.0,1962.0,1815.5,1954.5,5321080
2019-04-05,1961.5,1986.5,1876.5,1980.5,6486450
2019-04-12,1980.0,1980.5,1920.5,1947.0,6052406
2019-04-19,1942.5,2016.0,1939.0,2014.0,4865377
2019-04-26,2013.0,2017.0,1971.0,2006.0,5336914
2019-05-03,2006.0,2040.0,1934.5,2000.0,4544279
2019-05-10,1997.5,2002.0,1894.0,1921.5,4941592
2019-05-17,1919.5,1936.0,1777.0,1852.5,10229938
2019-05-24,1842.5,1860.5,1775.5,1808.5,8440082
2019-05-31,1813.5,1829.5,1687.0,1695.0,7217648
2019-06-07,1687.0,1782.0,1678.0,1782.0,10888402
2019-06-14,1789.5,1817.0,1729.0,1741.5,8150421
2019-06-21,1747.0,1803.5,1735.5,1783.0,10962898
2019-06-28,1777.5,1868.0,1759.0,1862.0,9402292
2019-07-05,1885.0,1962.5,1869.0,1962.5,9579685
2019-07-12,1950.0,2008.0,1904.5,2005.0,8020034
2019-07-19,2010.0,2362.0,1968.0,2328.0,15501901
2019-07-26,2330.0,2353.0,2209.0,2295.0,10068520
2019-08-02,2289.0,2334.0,2181.0,2249.0,9157314
2019-08-09,2218.0,2253.0,2131.0,2215.0,6321079
2019-08-16,2228.0,2250.0,2050.0,2102.0,6343375
2019-08-23,2112.0,2211.0,2089.0,2135.0,8115217
2019-08-30,2130.0,2185.0,2085.0,2164.0,5917440
2019-09-06,2162.0,2292.0,2155.0,2252.0,6299906
2019-09-13,2267.0,2280.0,2144.0,2175.0,6856726
2019-09-20,2142.0,2216.0,2117.0,2203.0,7862956
2019-09-27,2211.0,2216.0,2053.5,2169.0,7672690
2019-10-04,2164.0,2199.0,1958.0,2040.0,6660253
2019-10-11,2032.0,2076.0,1940.5,2004.0,10269184
2019-10-18,2010.0,2028.0,1856.25,1876.0,7757875
2019-10-25,1891.5,2030.0,1864.7030029296875,2022.0,7393559
2019-11-01,2031.0,2070.0,1983.0,2035.0,6816391
2019-11-08,2052.0,2138.0,2038.0,2044.0,5523096
2019-11-15,2050.0,2245.0,1979.5,2152.0,15185066
2019-11-22,2168.0,2168.0,1994.5,2033.0,7795182
2019-11-29,2038.0,2132.0,2038.0,2104.0,6235912
2019-12-06,2090.0,2113.0,1951.0,2100.0,8379181
2019-12-13,2105.0,2135.0,2051.0,2120.0,8422817
2019-12-20,2132.0,2209.0,2126.0,2191.0,12447332
2019-12-27,2196.0,2270.0,2176.0,2233.0,2187394
2020-01-03,2230.0,2245.0,2168.0,2224.0,1975005
2020-01-10,2202.0,2235.0,2075.0,2217.0,5972007
2020-01-17,2249.0,2340.0,2199.5,2329.0,7999071
2020-01-24,2333.0,2333.0,2087.0,2099.0,9437164
2020-01-31,1994.0,2051.0,1918.0,1953.0,10903144
2020-02-07,1966.5,2075.0,1921.0,2015.0,11057978
2020-02-14,1997.5,2043.0,1927.81005859375,1998.5,5929939
2020-02-21,2011.0,2023.0,1844.0,1870.5,9643492
2020-02-28,1806.0,1807.0,1581.0,1649.0,15130969
2020-03-06,1719.0,1736.5,1570.0,1598.0,13764175
2020-03-13,1500.0,1588.5,1293.0,1386.5,14136344
2020-03-20,1276.0,1303.0,1017.0,1159.0,18373408
2020-03-27,1081.5,1452.5,1071.0,1325.5,14969021
2020-04-03,1311.0,1376.5,1209.0,1250.0,9258965
2020-04-10,1282.0,1498.5,1282.0,1463.5,7607207
2020-04-17,1472.0,1494.0,1378.0,1471.5,8576656
2020-04-24,1482.0,1495.0,1260.0,1291.0,9476297
2020-05-01,1313.5,1486.5,1307.5,1376.5,8607396
2020-05-08,1373.5,1408.6109619140625,1317.0,1385.0,5402572
2020-05-15,1394.5,1419.5,1256.0,1319.0,7950328
2020-05-22,1338.0,1455.0,1338.0,1420.0,9459422
2020-05-29,1458.0,1599.5,1436.0,1495.5,10219531
2020-06-05,1520.0,1732.0,1453.0,1721.0,7733051
2020-06-12,1705.0,1717.0,1516.5,1594.0,6839576
2020-06-19,1524.0679931640625,1679.77001953125,1527.5,1564.5,5506213
2020-06-26,1541.0,1585.0,1472.5,1534.5,5709881
2020-07-03,1529.5,1689.5,1529.5,1635.0,6766596
2020-07-10,1656.5,1678.5,1540.0,1550.0,8482533
2020-07-17,1580.5,1598.0,1408.0,1463.0,10635908
2020-07-24,1455.5,1471.0,1297.0,1308.5,12010072
2020-07-31,1316.0,1326.447998046875,1231.5,1252.5,13031007
2020-08-07,1257.5,1328.0,1240.5,1320.0,16550324
2020-08-14,1339.5,1449.5,1326.0,1399.5,5915886
2020-08-21,1419.5,1439.0,1385.0,1404.5,4615244
2020-08-28,1415.5,1471.5,1388.3900146484375,1444.5,5222469
2020-09-04,1445.0,1515.0,1379.5,1466.0,6648316
2020-09-11,1472.0,1561.5,1452.0,1550.0,5529077
2020-09-18,1558.5,1623.5,1551.0,1575.0,7020406
2020-09-25,1593.5,1601.0,1485.2669677734375,1544.5,5162475
2020-10-02,1569.0,1603.5,1537.0,1562.5,5155238
2020-10-09,1579.0,2056.905029296875,1566.0,1602.5,5723840
2020-10-16,1600.5,1602.0,1466.5,1534.5,5983407
2020-10-23,1554.5,1563.0,1464.0,1488.0,5966502
2020-10-30,1459.0,1510.5,1336.0,1356.0,5503048
2020-11-06,1349.5,1487.0,1324.781005859375,1456.0,7981648
2020-11-13,1470.0,1721.5,1462.862060546875,1612.0,15452063
2020-11-20,1627.5,1654.5,1592.0,1637.5,9899762
2020-11-27,1640.0,1735.0,1638.5,1721.5,8956484
2020-12-04,1706.5,1816.0,1706.0,1801.0,11137672
2020-12-11,1803.0,1825.5,1769.5,1815.0,6136072
2020-12-18,1810.5,1915.0,1801.4830322265625,1820.5,7350231
2020-12-25,1758.5,1855.5,1725.0,1760.0,7469968
2021-01-01,1782.0,1841.0,1774.5,1789.5,1464207
2021-01-08,1822.0,1880.5,1766.2080078125,1834.5,5550194
2021-01-15,1846.5,1862.5,1680.5,1716.0,5798507
2021-01-22,1709.0,1845.5,1704.5,1759.5,8408687
2021-01-29,1750.5,1768.5,1673.5,1718.5,6037584
2021-02-05,1729.5,1782.0,1683.5,1764.5,5361849
2021-02-12,1768.0,1797.0,1717.5,1788.0,6070855
2021-02-19,1800.0,1883.5,1794.0179443359375,1839.5,5750114
2021-02-26,1822.0,1904.0,1798.5,1815.5,4711738
2021-03-05,1836.0,1908.0,1815.0,1865.0,6000031
2021-03-12,1879.5,2185.0,1850.5,2123.0,10456205
2021-03-19,2141.0,2172.0,2026.0,2035.0,5507941
2021-03-26,2041.0,2052.0,1850.0,1899.5,6691788
2021-04-02,1898.0,1951.0,1864.9200439453125,1927.5,3271533
2021-04-09,1953.0,2063.0,1931.5,2044.0,5576876
2021-04-16,2038.0,2116.0,2025.0,2074.0,4161514
2021-04-23,2047.0,2091.969970703125,1999.5,2078.0,4432057
2021-04-30,2077.0,2106.0,2050.0,2061.0,6992436
2021-05-07,2068.0,2211.0,2054.39990234375,2191.0,3787878
2021-05-14,2186.0,2211.0,1887.0,2105.0,9485055
2021-05-21,2114.0,2135.0,2067.0,2105.0,4770522
2021-05-28,2103.0,2155.0,2089.0,2136.0,5954540
2021-06-04,2152.0,2215.0,2107.0,2177.0,3678105
2021-06-11,2180.0,2255.0,2173.0,2209.0,4206545
2021-06-18,2225.0,2267.0,2175.0,2180.0,4398605
2021-06-25,2165.0,2267.0,2152.0,2250.0,3249546
2021-07-02,2100.0,2153.0,2024.0,2049.0,7581326
2021-07-09,2047.0,2087.0,1966.0,2063.0,4733097
2021-07-16,2074.0,2092.0,1948.5,1966.0,7225892
