Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,7505.0,7510.0,7440.0,7490.0,7471.98095703125,109309
2018-01-03,7510.0,7520.0,7435.0,7445.0,7427.08837890625,127413
2018-01-04,7505.0,7535.0,7445.0,7460.0,7442.05322265625,194443
2018-01-05,7445.0,7550.0,7445.0,7550.0,7531.8369140625,143561
2018-01-08,7565.0,7580.0,7505.0,7540.0,7521.8603515625,186931
2018-01-09,7545.0,7675.0,7525.0,7665.0,7646.55908203125,213664
2018-01-10,7680.0,7735.0,7640.0,7720.0,7701.427734375,395023
2018-01-11,7750.0,7760.0,7690.0,7755.0,7736.34228515625,222891
2018-01-12,7745.0,7760.0,7690.0,7700.0,7681.47607421875,585906
2018-01-15,7720.0,7760.0,7680.0,7680.0,7661.52294921875,124128
2018-01-16,7705.0,7725.0,7660.0,7690.0,7671.49951171875,183662
2018-01-17,7700.0,7700.0,7575.0,7595.0,7576.728515625,245747
2018-01-18,7625.0,7665.0,7600.0,7635.0,7616.630859375,138394
2018-01-19,7640.0,7640.0,7535.0,7545.0,7526.84716796875,430780
2018-01-22,7580.0,7590.0,7450.0,7455.0,7437.064453125,248762
2018-01-23,7485.0,7580.0,7465.0,7570.0,7551.7880859375,216872
2018-01-24,7540.0,7595.0,7510.0,7515.0,7496.919921875,275369
2018-01-25,7500.0,7575.0,7455.0,7475.0,7457.01708984375,180041
2018-01-26,7500.0,7585.0,7455.0,7560.0,7541.81103515625,129917
2018-01-29,7565.0,7580.0,7510.0,7515.0,7496.919921875,100496
2018-01-30,7515.0,7555.0,7475.0,7505.0,7486.94482421875,166770
2018-01-31,7530.0,7555.0,7395.0,7405.0,7387.18505859375,215689
2018-02-01,7450.0,7465.0,7370.0,7380.0,7362.24560546875,202488
2018-02-02,7400.0,7425.0,7345.0,7345.0,7327.330078125,116961
2018-02-05,7290.0,7290.0,7155.0,7155.0,7137.787109375,220344
2018-02-06,6970.0,7075.0,6905.0,7000.0,6983.1591796875,289357
2018-02-07,7060.0,7110.0,6930.0,7075.0,7057.9794921875,653259
2018-02-08,7020.0,7035.0,6740.0,6740.0,6723.78515625,451067
2018-02-09,6695.0,6830.0,6680.0,6720.0,6703.83349609375,309499
2018-02-12,6820.0,6960.0,6790.0,6900.0,6883.400390625,620199
2018-02-13,6900.0,6935.0,6795.0,6795.0,6778.6533203125,503459
2018-02-14,6855.0,6865.0,6730.0,6800.0,6783.64013671875,286652
2018-02-15,6855.0,6855.0,6615.0,6690.0,6673.90576171875,265595
2018-02-16,6725.0,6770.0,6705.0,6705.0,6688.86865234375,222195
2018-02-19,6720.0,6725.0,6620.0,6660.0,6643.9765625,352773
2018-02-20,6670.0,6715.0,6645.0,6685.0,6668.91650390625,331983
2018-02-21,6690.0,6690.0,6645.0,6670.0,6653.9541015625,307124
2018-02-22,6630.0,6690.0,6590.0,6660.0,6643.9765625,366556
2018-02-23,6695.0,6790.0,6635.0,6760.0,6743.7373046875,281908
2018-02-26,6770.0,6825.0,6725.0,6815.0,6798.6044921875,268127
2018-02-27,6815.0,6845.0,6700.0,6735.0,6718.796875,201804
2018-02-28,6700.0,6730.0,6635.0,6635.0,6619.03662109375,231531
2018-03-01,6635.0,6665.0,6575.0,6575.0,6559.18212890625,245943
2018-03-02,6510.0,6595.0,6490.0,6515.0,6499.32568359375,386790
2018-03-05,6520.0,6620.0,6505.0,6595.0,6579.13427734375,269078
2018-03-06,6680.0,6745.0,6620.0,6740.0,6723.78515625,318461
2018-03-07,6730.0,6795.0,6725.0,6750.0,6733.7607421875,370479
2018-03-08,6775.0,6810.0,6715.0,6790.0,6773.66455078125,136725
2018-03-09,6775.0,6835.0,6760.0,6835.0,6818.55712890625,142060
2018-03-12,6845.0,6860.0,6750.0,6785.0,6768.67626953125,125284
2018-03-13,6765.0,6875.0,6760.0,6820.0,6803.59375,217587
2018-03-14,6795.0,6845.0,6780.0,6845.0,6828.53271484375,256051
2018-03-15,6825.0,6905.0,6825.0,6900.0,6883.400390625,359602
2018-03-16,6900.0,6970.0,6830.0,6940.0,6923.3046875,464902
2018-03-19,6955.0,6955.0,6780.0,6805.0,6788.62939453125,277663
2018-03-20,6845.0,6845.0,6725.0,6730.0,6713.80908203125,229501
2018-03-21,6700.0,6745.0,6665.0,6685.0,6668.91650390625,190131
2018-03-22,6645.0,6710.0,6545.0,6615.0,6599.0849609375,395949
2018-03-23,6560.0,6585.0,6470.0,6540.0,6524.26611328125,317264
2018-03-26,6585.0,6595.0,6445.0,6475.0,6459.4228515625,790895
2018-03-27,6540.0,6655.0,6540.0,6645.0,6629.0146484375,222828
2018-03-28,6585.0,6630.0,6525.0,6615.0,6599.0849609375,195674
