Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,1145.0,1160.0,1136.0,1140.0,1136.430908203125,843649
2018-01-03,1143.0,1160.0,1140.0,1156.0,1152.380859375,1387602
2018-01-04,1163.0,1184.0,1156.0,1176.0,1172.318115234375,780595
2018-01-05,1179.0,1204.0,1176.0,1178.0,1174.311767578125,1370666
2018-01-08,1181.0,1186.0,1164.0,1168.0,1164.34326171875,1026302
2018-01-09,1172.0,1182.0,1165.0,1175.0,1171.3214111328125,768905
2018-01-10,1175.0,1184.0,1156.0,1158.0,1154.3746337890625,1205142
2018-01-11,1157.0,1160.0,1135.0,1142.0,1138.424560546875,1386797
2018-01-12,1148.0,1158.0,1145.0,1149.0,1145.40283203125,814524
2018-01-15,1154.0,1159.0,1144.0,1149.0,1145.40283203125,625009
2018-01-16,1153.0,1154.0,1136.0,1145.0,1141.4151611328125,722775
2018-01-17,1144.0,1146.0,1127.0,1134.0,1130.44970703125,641543
2018-01-18,1133.0,1139.0,1123.0,1125.0,1121.477783203125,658729
2018-01-19,1126.0,1133.0,1119.0,1122.0,1118.4873046875,728500
2018-01-22,1123.0,1127.0,1093.0,1097.0,1093.5654296875,1099608
2018-01-23,1105.0,1117.0,1088.0,1110.0,1106.5247802734375,788421
2018-01-24,1116.0,1121.0,1099.0,1108.0,1104.53125,996914
2018-01-25,1110.0,1134.0,1103.0,1120.0,1116.49365234375,839468
2018-01-26,1120.0,1150.0,1112.0,1125.0,1121.477783203125,941775
2018-01-29,1132.0,1171.0,1131.0,1164.0,1160.35595703125,1354981
2018-01-30,1156.0,1166.0,1143.0,1155.0,1151.3839111328125,927463
2018-01-31,1155.0,1185.0,1151.0,1158.0,1154.3746337890625,966687
2018-02-01,1164.0,1195.0,1161.0,1176.0,1172.318115234375,1385634
2018-02-02,1178.0,1178.0,1114.0,1124.0,1120.48095703125,981573
2018-02-05,1119.0,1120.0,1082.0,1102.0,1098.550048828125,705220
2018-02-06,1076.0,1098.0,1054.0,1077.0,1073.6280517578125,1491477
2018-02-07,1093.0,1119.0,1073.0,1099.0,1095.5592041015625,1108096
2018-02-08,1094.0,1101.0,1036.0,1039.0,1035.7470703125,1307517
2018-02-09,1039.0,1053.0,1011.0,1018.0,1014.8128662109375,3332634
2018-02-12,1029.0,1042.0,1018.0,1023.0,1019.7972412109375,892814
2018-02-13,1023.0,1036.0,1013.0,1020.0,1016.806640625,553427
2018-02-14,1029.0,1046.0,1014.0,1036.0,1032.756591796875,938982
2018-02-15,1045.0,1050.0,999.5,1005.0,1001.8535766601562,810175
2018-02-16,1013.0,1013.0,1000.0,1005.0,1001.8535766601562,741777
2018-02-19,1008.0,1037.0,1002.0,1032.0,1028.76904296875,501686
2018-02-20,1036.0,1066.0,1032.0,1045.0,1041.7283935546875,667434
2018-02-21,1045.0,1089.0,1041.0,1069.0,1065.6531982421875,1082428
2018-02-22,1059.0,1072.0,1048.0,1072.0,1068.643798828125,880778
2018-02-23,1075.0,1077.0,1043.0,1050.0,1046.7127685546875,524985
2018-02-26,1054.0,1065.0,1038.0,1060.0,1056.6812744140625,582748
2018-02-27,1068.0,1079.0,1062.0,1067.0,1063.6595458984375,839919
2018-02-28,1060.0,1071.0,1056.0,1058.0,1054.6875,632892
2018-03-01,1058.0,1059.0,1026.0,1035.0,1031.759765625,562441
2018-03-02,1024.0,1030.0,1009.0,1015.0,1011.8223266601562,596655
2018-03-05,1017.0,1041.0,1010.0,1035.0,1031.759765625,607044
2018-03-06,1046.0,1071.0,1043.0,1061.0,1057.6783447265625,727493
2018-03-07,1054.0,1061.0,1033.0,1057.0,1053.6905517578125,636283
2018-03-08,1062.0,1086.0,1043.0,1050.0,1046.7127685546875,688609
2018-03-09,1047.0,1058.0,1038.0,1051.0,1047.709716796875,524243
2018-03-12,1054.0,1068.0,1052.0,1064.0,1060.668701171875,571090
2018-03-13,1064.0,1064.0,1021.0,1028.0,1024.7816162109375,777826
2018-03-14,1026.0,1041.0,1025.0,1030.0,1026.775146484375,576764
2018-03-15,1031.0,1041.0,1013.0,1030.0,1026.775146484375,664452
2018-03-16,1035.0,1046.0,1027.0,1029.0,1025.778564453125,1426995
2018-03-19,1030.0,1030.0,1010.0,1017.0,1013.8160400390625,725191
2018-03-20,1020.0,1030.0,1016.0,1027.0,1023.7847900390625,654179
2018-03-21,1024.0,1028.0,1007.0,1018.0,1014.8128662109375,472704
2018-03-22,999.5,1016.0,986.5,994.0,990.8880004882812,560121
2018-03-23,987.0,1007.0,978.0,993.5,990.3895263671875,1292309
2018-03-26,996.0,1005.0,962.5,966.0,962.9757080078125,806299
2018-03-27,981.0,1002.0,981.0,988.5,985.4052734375,764275
2018-03-28,982.5,985.0,959.5,976.5,973.44287109375,647492
2018-03-29,978.5,999.0,973.5,982.0,978.925537109375,769573
2018-04-03,975.0,989.0,961.5,980.0,976.9319458007812,672177
2018-04-04,981.5,988.5,965.0,976.0,972.9443359375,605563
2018-04-05,988.0,1039.0,988.0,1036.0,1032.756591796875,1086960
2018-04-06,1030.0,1044.0,1024.0,1027.0,1023.7847900390625,1199941
2018-04-09,1042.0,1042.0,1015.0,1021.0,1017.8034057617188,766122
2018-04-10,1034.0,1034.0,1002.0,1027.0,1023.7847900390625,948101
2018-04-11,1022.0,1036.0,1008.0,1035.0,1031.759765625,1671392
2018-04-12,1033.0,1063.0,1027.0,1063.0,1059.6717529296875,834010
2018-04-13,1072.0,1074.0,1052.0,1061.0,1057.6783447265625,1069593
2018-04-16,1061.0,1064.0,1047.0,1050.0,1046.7127685546875,511550
2018-04-17,1048.0,1063.0,1048.0,1063.0,1059.6717529296875,485699
2018-04-18,1067.0,1067.0,1048.0,1067.0,1063.6595458984375,649175
2018-04-19,1068.0,1083.0,1067.0,1083.0,1079.6094970703125,480380
2018-04-20,1086.0,1087.0,1066.0,1076.0,1072.63134765625,361351
2018-04-23,1075.0,1089.0,1070.0,1089.0,1085.5904541015625,475753
2018-04-24,1096.0,1103.0,1080.0,1089.0,1085.5904541015625,391883
2018-04-25,1078.0,1085.0,1056.0,1062.0,1058.6751708984375,563883
2018-04-26,1071.0,1076.0,1065.0,1074.0,1070.6373291015625,783002
2018-04-27,1076.0,1086.0,1067.0,1086.0,1082.599853515625,495016
2018-04-30,1089.0,1097.0,1084.0,1086.0,1082.599853515625,304100
2018-05-01,1088.0,1111.0,1088.0,1100.0,1096.555908203125,143758
2018-05-02,1106.0,1135.0,1097.0,1131.0,1127.458984375,1063695
2018-05-03,1126.0,1133.0,1108.0,1116.0,1112.5062255859375,571438
