Date,Open,High,Low,Close,Volume
2018-01-05,1145.0,1204.0,1136.0,1178.0,4382512
2018-01-12,1181.0,1186.0,1135.0,1149.0,5201670
2018-01-19,1154.0,1159.0,1119.0,1122.0,3376556
2018-01-26,1123.0,1150.0,1088.0,1125.0,4666186
2018-02-02,1132.0,1195.0,1114.0,1124.0,5616338
2018-02-09,1119.0,1120.0,1011.0,1018.0,7944944
2018-02-16,1029.0,1050.0,999.5,1005.0,3937175
2018-02-23,1008.0,1089.0,1002.0,1050.0,3657311
2018-03-02,1054.0,1079.0,1009.0,1015.0,3214655
2018-03-09,1017.0,1086.0,1010.0,1051.0,3183672
2018-03-16,1054.0,1068.0,1013.0,1029.0,4017127
2018-03-23,1030.0,1030.0,978.0,993.5,3704504
2018-03-30,996.0,1005.0,959.5,982.0,2987639
2018-04-06,975.0,1044.0,961.5,1027.0,3564641
2018-04-13,1042.0,1074.0,1002.0,1061.0,5289218
2018-04-20,1061.0,1087.0,1047.0,1076.0,2488155
2018-04-27,1075.0,1103.0,1056.0,1086.0,2709537
2018-05-04,1089.0,1135.0,1084.0,1121.0,2488128
2018-05-11,1117.0,1153.0,1116.0,1149.0,2127083
2018-05-18,1151.0,1174.0,1136.0,1169.0,2102598
2018-05-25,1171.0,1226.0,1164.0,1181.0,5314714
2018-06-01,1175.0,1175.0,1087.0,1165.0,4578665
2018-06-08,1168.0,1175.0,1117.0,1122.0,5015567
2018-06-15,1130.0,1177.0,1122.0,1140.0,4574374
2018-06-22,1143.0,1151.0,1097.0,1108.0,3728305
2018-06-29,1100.0,1143.0,1064.0,1102.0,5769698
2018-07-06,1085.0,1091.0,1048.0,1068.0,3191656
2018-07-13,1075.0,1082.0,1045.0,1065.0,2796608
2018-07-20,1071.0,1085.0,1051.0,1074.0,2745888
2018-07-27,1068.0,1110.0,1059.0,1070.0,2995819
2018-08-03,1067.0,1083.0,1040.0,1047.0,2581168
2018-08-10,1056.0,1070.0,1035.0,1040.0,2967783
2018-08-17,1035.0,1050.0,1005.0,1011.0,2012927
2018-08-24,1008.0,1048.0,1007.0,1033.0,2030970
2018-08-31,1039.0,1057.0,1015.0,1049.0,2668893
2018-09-07,1047.0,1056.0,1000.0,1012.0,2562166
2018-09-14,1012.0,1071.0,1005.0,1069.0,2621411
2018-09-21,1063.0,1136.0,1047.0,1113.0,4250694
2018-09-28,1109.0,1117.0,1074.0,1090.0,2851684
2018-10-05,1095.0,1103.0,1046.0,1049.0,2399173
2018-10-12,1041.0,1052.0,966.0,973.5,3679587
2018-10-19,972.0,985.0,938.0,938.0,3506025
2018-10-26,939.0,957.0,903.5,924.5,4417312
2018-11-02,935.5,1006.0,926.0,974.0,4135218
2018-11-09,969.0,973.5,902.5,956.5,3472458
2018-11-16,960.0,1070.0,899.0,987.5,6367864
2018-11-23,996.5,1066.0,970.5,1052.0,6593171
2018-11-30,1066.0,1076.0,992.5,1015.0,8867158
2018-12-07,1035.0,1053.0,945.0,950.0,3795240
2018-12-14,946.0,979.0,925.5,954.5,3372923
2018-12-21,960.5,971.5,920.5,947.0,5168326
2018-12-28,927.5,951.0,914.0,936.5,905760
2019-01-04,939.5,968.0,911.0,967.0,1571110
2019-01-11,970.0,1029.0,970.0,1023.0,2636628
2019-01-18,1012.0,1023.0,985.0,1011.0,2584105
2019-01-25,1008.0,1025.0,978.0,981.0,2385076
2019-02-01,982.5,1047.0,969.5,1026.0,2921224
2019-02-08,1030.0,1057.0,987.5,987.5,2877390
2019-02-15,993.0,1036.0,990.0,1018.0,2661250
2019-02-22,1014.0,1044.0,1014.0,1021.0,2424819
2019-03-01,1017.0,1071.0,1017.0,1063.0,2512113
2019-03-08,1069.0,1072.0,991.5,999.0,3326583
2019-03-15,1006.0,1093.0,1002.0,1085.0,3790705
2019-03-22,1090.0,1097.0,1046.0,1049.0,2283980
2019-03-29,1040.0,1085.0,1027.0,1065.0,2949838
2019-04-05,1063.0,1151.0,1063.0,1129.0,3217597
2019-04-12,1134.0,1172.0,1115.0,1172.0,1865109
2019-04-19,1170.0,1187.0,1162.0,1179.0,1498773
2019-04-26,1188.0,1203.0,1172.0,1178.0,1888736
2019-05-03,1180.0,1192.0,1159.0,1164.0,2189952
2019-05-10,1164.0,1183.0,1145.0,1169.0,1879756
2019-05-17,1160.0,1212.0,1144.0,1204.0,3451002
2019-05-24,1204.0,1307.0,1197.0,1298.0,4461393
2019-05-31,1294.0,1359.0,1284.0,1314.0,3825046
2019-06-07,1314.0,1358.0,1263.0,1341.0,8286745
2019-06-14,1353.0,1363.0,1311.0,1325.0,3011751
2019-06-21,1328.0,1380.0,1321.0,1365.0,4426692
2019-06-28,1365.0,1391.0,1344.0,1381.0,3512009
2019-07-05,1393.0,1409.0,1369.0,1375.0,3709070
2019-07-12,1373.0,1389.0,1354.0,1373.0,2681035
2019-07-19,1381.0,1394.0,1354.0,1387.0,3471162
2019-07-26,1387.0,1435.0,1369.0,1409.0,3952921
2019-08-02,1401.0,1436.0,1332.0,1338.0,3643737
2019-08-09,1321.0,1362.0,1297.166015625,1353.0,3316010
2019-08-16,1368.0,1374.0,1277.0,1321.0,3681370
2019-08-23,1325.0,1374.0,1325.0,1351.0,4163044
2019-08-30,1341.0,1345.0,1306.0,1336.0,2205502
2019-09-06,1334.0,1404.0,1309.0,1401.0,2257910
2019-09-13,1416.0,1448.1240234375,1385.0,1448.0,3082611
2019-09-20,1436.0,1459.0,1360.0,1447.0,3284078
2019-09-27,1456.0,1460.0,1384.0,1460.0,2742100
2019-10-04,1465.0,1471.0,1303.0,1336.0,3919759
2019-10-11,1341.0,1398.0,1320.0,1382.0,4007605
2019-10-18,1372.0,1469.0,1340.5,1425.0,8172625
2019-10-25,1428.0,1496.0,1409.0,1483.0,3453353
2019-11-01,1490.0,1507.0,1475.0,1486.0,3463881
2019-11-08,1485.0,1501.0,1447.0,1453.0,3830643
2019-11-15,1436.0,1496.0,1429.0,1491.0,3024647
2019-11-22,1495.0,1614.0,1444.9000244140625,1488.0,4703811
2019-11-29,1498.0,1571.0,1481.0,1531.0,3693369
2019-12-06,1539.0,1561.5,1503.0,1561.0,4928784
2019-12-13,1574.0,1632.0,1513.0,1562.0,3900002
2019-12-20,1563.0,1613.0,1562.0,1605.0,5118820
2019-12-27,1599.0,1645.0,1596.0,1642.0,686540
2020-01-03,1644.0,1651.0,1607.0,1626.0,1755829
2020-01-10,1610.0,1650.0,1572.0,1615.0,5097938
2020-01-17,1619.0,1693.387939453125,1613.0,1671.0,2977893
2020-01-24,1677.0,1722.0,1667.800048828125,1696.0,2407473
2020-01-31,1661.0,1770.0,1652.614013671875,1742.0,4355347
2020-02-07,1752.0,1772.0,1705.0,1753.0,4070106
2020-02-14,1744.0,1828.0,1744.0,1816.0,5096090
2020-02-21,1818.0,1896.0,1814.0,1877.0,3666838
2020-02-28,1832.0,1840.0,1566.0,1592.0,5765537
2020-03-06,1616.0,1733.0,1534.0,1553.0,8223513
2020-03-13,1452.0,1452.0,1028.0,1050.0,13651750
2020-03-20,1025.0,1030.0,452.0,720.5,22123273
2020-03-27,687.0,940.5,651.0,882.5,11753350
2020-04-03,893.5,910.9719848632812,781.0,823.0,6380372
2020-04-10,840.5,1160.0,840.5,1096.0,8293252
2020-04-17,1113.0,1117.0,909.0,962.0,6829628
2020-04-24,971.5,1034.0,920.5,1030.0,4836728
2020-05-01,1050.0,1200.0,1030.0,1085.0,5401592
2020-05-08,1031.0,1162.0,1030.0,1157.0,6431825
2020-05-15,1162.0,1163.6700439453125,1033.0,1071.0,6233818
2020-05-22,1078.0,1150.0,1076.0,1135.0,4555071
2020-05-29,1179.0,1314.0,1159.0,1270.0,5242905
2020-06-05,1291.0,1434.0,1258.0,1418.0,7094824
2020-06-12,1416.0,1429.0,1188.0,1224.0,10487636
2020-06-19,1191.0,1324.0,1194.0,1270.0,9117505
2020-06-26,1240.0,1329.0,1222.0,1304.0,6111871
2020-07-03,1306.0,1325.0,1255.0,1273.0,5464675
2020-07-10,1273.0,1332.0,1243.0,1302.0,4435454
2020-07-17,1326.0,1408.0,1291.0,1400.0,6208773
2020-07-24,1391.0,1455.0,1378.0,1445.0,7794335
2020-07-31,1437.0,1450.0,1332.0,1347.0,5284703
2020-08-07,1338.0,1407.0,1326.0,1365.0,7334935
2020-08-14,1356.0,1398.0,1325.3199462890625,1337.0,2671849
2020-08-21,1324.0,1364.0,1301.3199462890625,1327.0,1953339
2020-08-28,1341.0,1383.0,1301.3199462890625,1367.0,2042941
2020-09-04,1365.0,1365.0,1239.0,1245.0,2678118
2020-09-11,1257.0,1298.0,1247.0,1257.0,2128755
2020-09-18,1260.0,1276.0,1220.0,1252.0,6388444
2020-09-25,1240.0,1240.31103515625,1133.0,1166.0,5242502
2020-10-02,1191.0,1221.0,1165.0,1215.0,2695932
2020-10-09,1237.0,1376.0,1225.0810546875,1364.0,6590023
2020-10-16,1368.0,1403.4830322265625,1299.0,1333.0,3574664
2020-10-23,1347.0,1350.0,1256.0,1293.0,2405770
2020-10-30,1264.0,1306.0,1128.0,1171.0,3030753
2020-11-06,1174.0,1317.0,1156.0,1304.0,2562188
2020-11-13,1327.0,1567.0,1324.345947265625,1533.0,5232677
2020-11-20,1562.0,1763.0,1550.0,1689.0,5790679
2020-11-27,1690.0,1780.0,1610.0,1661.0,3967382
2020-12-04,1649.0,1741.0,1631.0,1700.0,4286808
2020-12-11,1695.0,1710.0,1580.0,1594.0,3606345
2020-12-18,1610.0,1702.0,1584.0,1667.0,5288961
2020-12-25,1628.0,1753.0,1578.0,1726.0,1538840
2021-01-01,1745.0,1785.0,1699.0,1726.0,996775
2021-01-08,1759.0,1817.0,1703.0,1779.0,3479400
2021-01-15,1781.0,1786.0,1673.0,1699.0,2139851
2021-01-22,1714.0,1779.0,1671.0,1742.0,2361817
2021-01-29,1743.0,1772.0,1608.0,1700.0,4863845
2021-02-05,1711.0,1802.0,1687.0,1781.0,2780743
2021-02-12,1782.0,1855.0,1768.0,1854.0,3046282
2021-02-19,1883.0,1945.0,1869.97998046875,1892.0,3176978
2021-02-26,1876.0,1946.0,1714.0,1731.0,4398351
2021-03-05,1742.0,1853.0,1742.0,1811.0,3950628
2021-03-12,1817.0,1972.0,1803.0,1905.0,3521133
2021-03-19,1915.0,1959.0,1856.0,1861.0,4103174
2021-03-26,1854.0,1914.0,1834.0,1875.0,3265775
2021-04-02,1861.0,1914.0,1836.0,1896.5,1953201
2021-04-09,1908.0,2007.0,1902.5,1968.0,1710097
2021-04-16,1972.0,2057.0,1952.5,2017.0,1834972
2021-04-23,2006.0,2049.0,1966.0,2046.0,2744612
2021-04-30,2045.0,2196.0,2028.0,2186.0,4482765
2021-05-07,2197.0,2204.0,2060.0,2125.0,2153362
2021-05-14,2140.0,2150.0,1924.5,2054.0,2601243
2021-05-21,2054.0,2069.0,1949.5,2032.0,2208119
2021-05-28,2044.0,2111.0,2044.0,2103.0,3324912
2021-06-04,2088.0,2201.0,2088.0,2158.0,1605136
2021-06-11,2160.0,2319.0,2147.0,2289.0,3231613
2021-06-18,2305.0,2355.0,2105.0,2115.0,3978120
2021-06-25,2115.0,2217.0,2097.0,2201.0,2066383
2021-07-02,2180.0,2199.5,2104.0,2167.0,2422599
2021-07-09,2162.0,2204.0,2054.0,2146.0,2351703
2021-07-16,2133.0,2199.0,2077.0,2082.0,1905460
2021-07-23,2041.0,2245.0,1976.5,2238.0,2722964
2021-07-30,2234.0,2312.0,2160.0,2170.0,2840267
2021-08-06,2193.0,2207.0,2148.0,2176.0,2711743
2021-08-13,2180.0,2238.7529296875,2161.0,2212.0,3105624
2021-08-20,2203.0,2207.0,2109.0,2178.0,1745524
2021-08-27,2212.0,2212.0,2133.0,2197.0,1329629
2021-09-03,2200.0,2302.0,2166.0,2253.0,1576074
2021-09-10,2269.0,2302.0,2176.0,2256.0,2339447
2021-09-17,2265.0,2265.0,2157.0,2176.0,2445129
2021-09-24,2137.0,2196.0,2060.0,2126.0,2086895
2021-10-01,2157.0,2157.0,1988.0,2047.0,2561359
2021-10-08,2040.0,2113.0,1981.5,2086.0,4036524
2021-10-15,2074.0,2125.0,1989.0,2102.0,3510928
2021-10-22,2099.0,2172.0,2071.0,2165.0,1660148
2021-10-29,2156.0,2255.0,2156.0,2191.0,1455960
2021-11-05,2202.0,2300.0,2188.0,2292.0,1720481
2021-11-12,2290.0,2366.0,2255.0,2352.0,2728514
2021-11-19,2355.0,2493.0,2229.0,2283.0,3845098
2021-11-26,2300.0,2304.0,2109.0,2109.0,2580130
2021-12-03,2150.0,2213.0,2067.0,2161.0,3761595
2021-12-10,2192.0,2288.0,2135.9990234375,2173.0,2352204
2021-12-17,2173.0,2203.0,2113.0,2134.0,3445992
2021-12-24,2098.0,2223.0,2071.0,2188.0,1480544
2021-12-31,2229.0,2242.0,2140.0,2194.0,650779
2022-01-07,2208.0,2239.986083984375,2074.0,2087.0,1321551
2022-01-14,2094.0,2099.0,1920.0,1927.0,3144179
2022-01-21,1933.0,1971.0,1859.5,1908.5,2956548
2022-01-28,1894.5,1935.5,1809.0,1867.5,5045508
2022-02-04,1894.5,1965.5,1846.0,1846.0,4202513
2022-02-11,1850.0,1905.5,1816.5,1842.0,3144784
2022-02-18,1800.0,1822.0,1735.0,1735.0,3168931
2022-02-25,1755.0,1761.5,1604.5,1735.5,3544726
2022-03-04,1691.5,1717.5,1427.0,1436.0,4866104
2022-03-11,1379.0,1594.0,1285.0,1555.0,5506780
2022-03-18,1578.0,1766.0,1549.5,1764.0,4089561
2022-03-25,1758.5,1764.5,1659.5,1683.0,3262725
2022-04-01,1697.0,1827.0,1685.5,1802.0,3957266
2022-04-08,1807.0,1867.0,1650.0,1667.0,4688677
2022-04-15,1653.0,1705.5,1638.0,1691.5,1620515
2022-04-22,1684.5,1714.5,1568.0,1632.0,2925758
2022-04-29,1599.0,1623.5,1499.0,1547.5,6359482
2022-05-06,1534.5,1561.5,1383.0,1401.0,3353848
2022-05-13,1424.5,1426.5,1320.5,1426.0,8739021
2022-05-20,1430.5,1509.4410400390625,1345.5,1396.0,6023554
2022-05-27,1425.0,1605.0,1413.5,1596.0,5783603
2022-06-03,1618.5,1638.5,1529.0,1540.5,4854447
2022-06-10,1595.5,1603.5,1457.0,1462.0,6228327
2022-06-17,1433.0,1479.0,1341.0,1409.5,9626616
2022-06-24,1412.0,1423.0,1308.0,1419.0,3957497
2022-07-01,1429.0,1441.5,1270.5,1316.5,3784605
2022-07-08,1335.5,1369.0,1266.0,1355.0,3239691
2022-07-15,1329.0,1391.0,1301.5,1366.5,2594165
2022-07-22,1379.5,1503.7650146484375,1359.0,1425.5,4657145
2022-07-29,1415.5,1523.0,1376.0,1521.5,4116927
2022-08-05,1515.0,1553.5,1460.0,1482.0,2437311
2022-08-12,1504.5,1566.0,1454.0,1562.5,1995153
2022-08-19,1569.5,1569.5,1469.0,1469.0,2682484
2022-08-26,1480.0,1480.0,1371.0,1371.0,2134534
2022-09-02,1360.0,1405.0,1258.5,1317.0,1686869
2022-09-09,1285.0,1321.0,1244.5,1283.5,3739618
2022-09-16,1291.0,1309.5,1191.0,1212.5,7212800
2022-09-23,1217.5,1218.5,1023.5,1055.5,7100008
2022-09-30,1055.5,1061.5,937.0,982.7999877929688,10532362
2022-10-07,972.5999755859375,1097.5,964.2000122070312,1058.0,10938560
2022-10-14,1050.5,1077.0,947.2000122070312,981.2000122070312,7479584
