sector,indicator,type,hit_rate,trades
ALL,Nadaraya-Watson Smoother,KPI,0.679194143288253,0
ALL,cRSI,KPI,0.535455486542443,0
ALL,SR Breaks,KPI,0.5121477162293488,0
ALL,Stoch_MTM,KPI,0.5255510204081633,0
ALL,CM_P-SAR,KPI,0.5366085202325858,0
ALL,WT_LB,KPI,0.5377985809279691,0
ALL,ADX & DI,KPI,0.5411221888813603,0
ALL,SQZMOM_LB,KPI,0.5464758912716842,0
ALL,CM_Ult_MacD_MFT,KPI,0.5174761227392807,0
ALL,SuperTrend,KPI,0.5234121945531341,0
ALL,UT Bot Alert,KPI,0.5411725955204216,0
ALL,Ichimoku,KPI,0.5680623834548229,0
ALL,MA Ribbon,KPI,0.5483929544216452,0
ALL,Madrid Ribbon,KPI,0.5513035159052858,0
ALL,Donchian Ribbon,KPI,0.5446483082163169,0
ALL,DEMA,KPI,0.5324118051688559,0
ALL,TuTCI,KPI,0.5217783456725168,0
ALL,GMMA,KPI,0.5561756097560976,0
ALL,Mansfield RS,KPI,0.5815288285937907,0
ALL,OBVOSC_LB,KPI,0.5261843161745027,0
ALL,BB 30,KPI,0.5759897828863346,0
ALL,Nadaraya-Watson Envelop (MAE),KPI,0.6194029850746269,0
ALL,C3,Combo,0.7041666666666667,0
ALL,C4,Combo,0.695364238410596,0
ALL,C5,Combo,0.6666666666666666,0
Communication Services,Nadaraya-Watson Smoother,KPI,0.6982024597918638,1057
Communication Services,cRSI,KPI,0.5444664031620553,1012
Communication Services,SR Breaks,KPI,,0
Communication Services,Stoch_MTM,KPI,0.7164179104477612,67
Communication Services,CM_P-SAR,KPI,0.5787362086258776,997
Communication Services,WT_LB,KPI,0.5686274509803921,714
Communication Services,ADX & DI,KPI,0.5648241206030151,995
Communication Services,SQZMOM_LB,KPI,0.5778331257783312,803
Communication Services,CM_Ult_MacD_MFT,KPI,0.568,750
Communication Services,SuperTrend,KPI,0.5592334494773519,1148
Communication Services,UT Bot Alert,KPI,0.5529265255292652,803
Communication Services,Ichimoku,KPI,0.5830164765525983,789
Communication Services,MA Ribbon,KPI,,0
Communication Services,Madrid Ribbon,KPI,0.5152129817444219,493
Communication Services,Donchian Ribbon,KPI,0.5725806451612904,868
Communication Services,DEMA,KPI,0.5555555555555556,855
Communication Services,TuTCI,KPI,0.5475841874084919,683
Communication Services,GMMA,KPI,0.592020592020592,777
Communication Services,Mansfield RS,KPI,0.5958904109589042,584
Communication Services,OBVOSC_LB,KPI,0.5709606986899564,916
Communication Services,BB 30,KPI,,6
Communication Services,Nadaraya-Watson Envelop (MAE),KPI,,12
Communication Services,C3,Combo,,0
Communication Services,C4,Combo,,0
Communication Services,C5,Combo,,0
Consumer Cyclical,Nadaraya-Watson Smoother,KPI,0.6757775683317625,2122
Consumer Cyclical,cRSI,KPI,0.5161290322580645,2077
Consumer Cyclical,SR Breaks,KPI,0.5126050420168067,357
Consumer Cyclical,Stoch_MTM,KPI,0.4122137404580153,262
Consumer Cyclical,CM_P-SAR,KPI,0.5113207547169811,2120
Consumer Cyclical,WT_LB,KPI,0.5034788108791903,1581
Consumer Cyclical,ADX & DI,KPI,0.5054818234275822,1733
Consumer Cyclical,SQZMOM_LB,KPI,0.5025641025641026,1560
Consumer Cyclical,CM_Ult_MacD_MFT,KPI,0.5033434650455927,1645
Consumer Cyclical,SuperTrend,KPI,0.5,2448
Consumer Cyclical,UT Bot Alert,KPI,0.5171252105558675,1781
Consumer Cyclical,Ichimoku,KPI,0.5261106780982073,1283
Consumer Cyclical,MA Ribbon,KPI,,0
Consumer Cyclical,Madrid Ribbon,KPI,0.4752851711026616,789
Consumer Cyclical,Donchian Ribbon,KPI,0.49321533923303834,1695
Consumer Cyclical,DEMA,KPI,0.5134994807892004,1926
Consumer Cyclical,TuTCI,KPI,0.4696048632218845,1316
Consumer Cyclical,GMMA,KPI,0.5177777777777778,1350
Consumer Cyclical,Mansfield RS,KPI,0.5392051557465092,931
Consumer Cyclical,OBVOSC_LB,KPI,0.5032397408207343,1852
Consumer Cyclical,BB 30,KPI,,5
Consumer Cyclical,Nadaraya-Watson Envelop (MAE),KPI,0.6896551724137931,29
Consumer Cyclical,C3,Combo,0.7875,80
Consumer Cyclical,C4,Combo,,0
Consumer Cyclical,C5,Combo,,0
Consumer Defensive,Nadaraya-Watson Smoother,KPI,0.676271186440678,590
Consumer Defensive,cRSI,KPI,0.43342391304347827,736
Consumer Defensive,SR Breaks,KPI,0.49372384937238495,239
Consumer Defensive,Stoch_MTM,KPI,0.5826771653543307,127
Consumer Defensive,CM_P-SAR,KPI,0.4789391575663027,641
Consumer Defensive,WT_LB,KPI,0.447265625,512
Consumer Defensive,ADX & DI,KPI,0.47641509433962265,424
Consumer Defensive,SQZMOM_LB,KPI,0.5106888361045131,421
Consumer Defensive,CM_Ult_MacD_MFT,KPI,0.44041450777202074,579
Consumer Defensive,SuperTrend,KPI,0.5131375579598145,647
Consumer Defensive,UT Bot Alert,KPI,0.4573643410852713,516
Consumer Defensive,Ichimoku,KPI,0.4900662251655629,302
Consumer Defensive,MA Ribbon,KPI,,0
Consumer Defensive,Madrid Ribbon,KPI,0.48502994011976047,167
Consumer Defensive,Donchian Ribbon,KPI,0.4868995633187773,458
Consumer Defensive,DEMA,KPI,0.46449704142011833,676
Consumer Defensive,TuTCI,KPI,0.45692883895131087,267
Consumer Defensive,GMMA,KPI,0.48148148148148145,324
Consumer Defensive,Mansfield RS,KPI,0.5,138
Consumer Defensive,OBVOSC_LB,KPI,0.4642857142857143,476
Consumer Defensive,BB 30,KPI,,3
Consumer Defensive,Nadaraya-Watson Envelop (MAE),KPI,,15
Consumer Defensive,C3,Combo,0.75,48
Consumer Defensive,C4,Combo,0.7894736842105263,38
Consumer Defensive,C5,Combo,0.7575757575757576,33
Financial Services,Nadaraya-Watson Smoother,KPI,0.6783952647155541,3041
Financial Services,cRSI,KPI,0.6135629709364908,1858
Financial Services,SR Breaks,KPI,0.75,52
Financial Services,Stoch_MTM,KPI,0.5426829268292683,164
Financial Services,CM_P-SAR,KPI,0.5730647709320695,2532
Financial Services,WT_LB,KPI,0.6084558823529411,1632
Financial Services,ADX & DI,KPI,0.596368138671069,2423
Financial Services,SQZMOM_LB,KPI,0.6101468624833111,2247
Financial Services,CM_Ult_MacD_MFT,KPI,0.58698224852071,1690
Financial Services,SuperTrend,KPI,0.6020738820479585,3086
Financial Services,UT Bot Alert,KPI,0.580948312686886,2341
Financial Services,Ichimoku,KPI,0.6141630901287554,2330
Financial Services,MA Ribbon,KPI,,0
Financial Services,Madrid Ribbon,KPI,0.6175051688490696,1451
Financial Services,Donchian Ribbon,KPI,0.6178270849273144,2614
Financial Services,DEMA,KPI,0.596579476861167,1988
Financial Services,TuTCI,KPI,0.6112198303979126,1533
Financial Services,GMMA,KPI,0.6029055690072639,2478
Financial Services,Mansfield RS,KPI,0.6097560975609756,1476
Financial Services,OBVOSC_LB,KPI,0.6167571761055082,2578
